"gameId","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","place","physicalIntensityLevel","educationalBenefits","category"
"1","Soccer","Football","Team Sport","Beginner to Professional","A team sport where players aim to score goals by getting the ball into the opposing team's net without using their hands or arms.","22","4+","90 minutes","Soccer ball; Goals; Cleats; Shin guards","Score more goals than the opposing team within the allotted time.","Teamwork; Coordination; Physical fitness","10-15 minutes","Soccer field or pitch","High","Promotes physical fitness, teamwork, and strategic thinking","Outdoor Sports and Games"
"2","Ultimate Frisbee","Ultimate","Team Sport","Beginner to Advanced","A non-contact team sport played with a flying disc, where teams score by catching the disc in the opposing end zone.","14","10+","60-90 minutes","Frisbee (flying disc)","Score points by catching the disc in the opposing team's end zone.","Throwing skills; Endurance; Teamwork","5-10 minutes","Open field","High","Enhances coordination, teamwork, and promotes fair play","Outdoor Sports and Games"
"3","Capture the Flag","None","Outdoor Game","Beginner to Intermediate","A game where two teams try to capture the opposing team's flag and return it to their own base without being tagged.","Not specified","8+","30-60 minutes","Two flags or markers","Capture the opposing team's flag and bring it back to your own territory.","Strategy; Teamwork; Physical fitness","10 minutes","Large open area with defined boundaries","Moderate to High","Encourages strategic thinking, teamwork, and physical activity","Outdoor Sports and Games"
"4","Archery","None","Individual Sport","Beginner to Advanced","Shooting arrows at a target for accuracy from a set distance using a bow.","Not specified","10+","1-2 hours","Bow; Arrows; Target; Protective gear","Hit the target as accurately as possible.","Focus; Hand-eye coordination; Discipline","15-20 minutes","Archery range or open field with safety measures","Low to Moderate","Improves concentration, discipline, and coordination","Outdoor Sports and Games"
"5","Hiking","Trekking","Recreational Activity","Beginner to Advanced","A long, vigorous walk on trails or footpaths in the countryside.","Not specified","All ages","Varies","Comfortable walking shoes or boots; Backpack; Water; Map","Complete the chosen trail or reach a specific destination.","Endurance; Navigation; Environmental awareness","Varies (planning route, packing gear)","Trails, forests, mountains","Low to High","Promotes physical health, appreciation for nature, and navigation skills","Outdoor Sports and Games"
"6","Beach Volleyball","None","Team Sport","Beginner to Professional","A team sport played by two teams of two players on a sand court divided by a net.","4","8+","30-60 minutes","Volleyball; Net; Sand court","Score points by grounding the ball on the opponent's side of the court.","Teamwork; Agility; Coordination","15 minutes","Beach or sand court","High","Enhances teamwork, communication, and physical fitness","Outdoor Sports and Games"
"7","Kayaking","None","Water Sport","Beginner to Advanced","Paddling a small craft through water using a double-bladed paddle.","Not specified","12+","1 hour to full-day trips","Kayak; Paddle; Life jacket; Helmet","Navigate waterways for exploration, competition, or leisure.","Upper body strength; Balance; Navigation","20 minutes","Rivers, lakes, seas","Moderate to High","Promotes physical fitness, environmental awareness, and water safety skills","Outdoor Sports and Games"
"8","Rock Climbing","None","Extreme Sport","Beginner to Expert","Ascending natural rock formations or artificial rock walls using specialized equipment.","Not specified","10+","A few hours to full-day climbs","Climbing shoes; Harness; Rope; Helmet; Carabiners","Reach the top of a climb or complete a route.","Strength; Problem-solving; Focus","30 minutes","Rock faces, cliffs, climbing walls","High","Enhances physical strength, mental focus, and safety awareness","Outdoor Sports and Games"
"9","Orienteering","None","Navigation Sport","Beginner to Advanced","A sport where participants find their way to various checkpoints using a map and compass.","Not specified","8+","30 minutes to several hours","Map; Compass; Running shoes","Locate all checkpoints in the shortest possible time.","Navigation; Decision-making; Endurance","Varies (setting up the course)","Forests, parks, wilderness areas","Moderate to High","Improves navigation skills, decision-making, and physical fitness","Outdoor Sports and Games"
"10","Tag","It; Chasey","Children's Game","Beginner","A playground game where one player is 'It' and must chase and tag other players, who then become 'It'.","Not specified","3+","Variable","None","Avoid being tagged by 'It' or tag others if you are 'It'.","Speed; Agility; Awareness","None","Playground, backyard, open area","Moderate to High","Promotes physical activity, social interaction, and reflexes","Outdoor Sports and Games"
"11","Basketball (Street)","None","Team Sport","Beginner to Professional","A game where two teams try to score points by throwing a ball through the opponent's hoop.","10","6+","Variable","Basketball; Hoop","Score more points than the opposing team by shooting the ball through the hoop.","Teamwork; Coordination; Agility","5-10 minutes","Basketball court","High","Improves physical fitness, teamwork, and coordination","Outdoor Sports and Games"
"12","Badminton","None","Racquet Sport","Beginner to Advanced","A racquet sport played using racquets to hit a shuttlecock across a net.","4","6+","30-60 minutes","Badminton racquets; Shuttlecock; Net","Score points by landing the shuttlecock in the opponent's half of the court.","Agility; Hand-eye coordination; Speed","10 minutes","Badminton court","Moderate","Enhances reflexes, coordination, and physical fitness","Outdoor Sports and Games"
"13","Tennis","None","Racquet Sport","Beginner to Professional","A sport where players use racquets to hit a ball over a net into the opponent's court.","4","6+","1-3 hours","Tennis racquets; Tennis balls; Net","Score points by hitting the ball so the opponent cannot return it.","Agility; Strategy; Coordination","10 minutes","Tennis court","High","Improves physical fitness, coordination, and strategic thinking","Outdoor Sports and Games"
"14","Cricket","None","Team Sport","Beginner to Professional","A bat-and-ball game played between two teams who take turns batting and fielding.","22","6+","3 hours to multiple days","Cricket ball; Bat; Wickets; Protective gear","Score more runs than the opposing team.","Hand-eye coordination; Teamwork; Strategy","15-20 minutes","Cricket field","Moderate","Enhances teamwork, strategic thinking, and physical fitness","Outdoor Sports and Games"
"15","Rugby","None","Team Sport","Beginner to Professional","A sport where teams carry, pass, or kick a ball to the end zone to score points.","30","10+","80 minutes","Rugby ball; Protective gear","Score more points than the opposing team by carrying or kicking the ball into the end zone.","Strength; Teamwork; Endurance","10 minutes","Rugby field","High","Promotes physical fitness, teamwork, and strategic planning","Outdoor Sports and Games"
"16","American Football","None","Team Sport","Beginner to Professional","A sport where teams attempt to advance the ball into the opposing team's end zone for points.","22","10+","60 minutes","Football; Protective gear","Score more points than the opposing team by advancing the ball into their end zone.","Strength; Strategy; Teamwork","15 minutes","Football field","High","Enhances strategic thinking, teamwork, and physical fitness","Outdoor Sports and Games"
